"","cluster","서부 텍사스 중질유 가격","브랜트유 가격","천연가스 선물","가솔린 선물","난방유 선물","납 선물","주석 99.85% 선물","SHG 아연 99.995% 선물","LME Index","금 선물","은 선물","밀 선물","옥수수 선물","대두 선물","쌀","설탕 선물","커피 선물","오렌지쥬스 선물","돼지 선물","생우 선물","MSCI 선진국 부동산","MSCI 이머징 부동산","영국 Halifax 주택가격(계절조정)","영국 Nationwide 주택가격(계절조정)","북경 주택가격","천진 주택가격","상해 주택가격","광주 주택가격","심천 주택가격","다우존스 Equity REITs","MSCI World REITs","MSCI AC  World REITs","MSCI Europe REITs","Reuter CRB(EW)곡물지수","Reuter CRB(EW)상품선물지수","Reuter CRB(EW)에너지지수","Reuter CRB(EW)산업지수","Reuter CRB(EW)귀금속지수","RJ CRB 상품선물지수","천연고무 선물","Dram Exchange 지수"
"1",1,0,0,0,0,0,0,0,0,0,0.809502250618405,0,0,0,0,0,0,0,0,0,0,0.0804435875680712,0,0,0.0791367491086324,0,0,0,0,0,0.172919736968146,0,0,0,0,0,0,0,0,0,0,0.795505026976267
"2",2,0,0,0,0,0,0,0,0,0,0.782164920121431,0,0,0,0,0,0,0,0,0,0.827597424387932,0,0,0,0.31420374661684,0,0,0,0,0,0.75713974237442,0,0,0,0,0,0,0,0,0,0,0.801676142960787
"3",3,0,0,0,0,0,0,0,0,0,0.666259256693033,0,0,0,0,0,0,0,0,0,0.786268651485443,0,0,0.73383747614347,0.769436084307157,0,0,0,0,0.0539946739490216,0.735068449607262,0,0,0,0,0,0,0,0,0,0,0.824149420628181
"4",4,0,0.722072660923004,0,0,0,0,0,0,0,0.726311802864075,0.803508818149567,0.768241763114929,0.828039526939392,0.758179903030396,0.805999159812927,0,0,0,0,0,0.700158953666687,0,0.766612112522125,0.840122520923615,0,0,0,0,0,0.755830883979797,0.708680748939514,0,0,0.835818350315094,0,0.712040781974792,0.763098537921906,0.796280860900879,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0.789448807636897,0,0,0,0,0,0,0,0,0,0.81494365632534,0.746305863062541,0,0.77426282564799,0.798202688495318,0,0,0,0,0,0.850279435515404,0.058366800347964,0,0,0,0,0,0,0,0,0,0.816129674514135
"6",6,0.788440465927124,0.750880062580109,0,0,0,0,0,0,0.755716264247894,0,0,0,0,0,0.746886432170868,0,0,0,0,0,0.781875908374786,0.723555266857147,0.971637964248657,0.97317111492157,0,0,0,0,0,0.856815159320831,0.826852262020111,0.813224971294403,0,0,0,0.744440853595734,0,0,0.833279013633728,0,0.7945836186409
"7",7,0,0,0,0,0.707501113414764,0,0,0,0.712443649768829,0,0,0.742443919181824,0,0,0,0,0,0,0,0.854755520820618,0,0.762478470802307,0.877523422241211,0.885901212692261,0.847719728946686,0.782816469669342,0.882076323032379,0.823021233081818,0.81091696023941,0,0,0,0,0,0,0,0,0,0.738116681575775,0,0
"8",8,0,0.234929362932841,0,0,0.478996455669403,0.267127772172292,0.806515554587046,0,0,0,0.510815560817719,0.238504926363627,0.253213584423065,0.768667797247569,0.267408351103465,0,0,0,0.238637725512187,0.801782369613647,0,0,0.244184891382853,0.508383989334106,0,0,0,0,0,0,0,0,0,0.491134266058604,0.75157352288564,0.240374247233073,0,0.775924404462179,0,0,0
"9",9,0,0,0,0,0,0,0,0,0,0.67929341395696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119889289140701,0.794286588827769,0.791569203138351,0.417173196872075,0,0,0,0,0,0,0,0
"10",10,0.770404696464539,0.779159426689148,0.868809998035431,0,0.81916207075119,0.866985499858856,0.910654723644257,0.912456035614014,0.953380167484283,0,0,0,0,0,0,0,0,0.808605194091797,0,0,0,0,0.807685494422913,0.86066997051239,0.79549652338028,0.863636195659637,0,0.822387337684631,0.840594530105591,0,0,0,0,0,0,0.79755175113678,0.923584043979645,0,0.706420958042145,0.875544786453247,0.920501947402954
"11",11,0,0,0,0,0,0,0.105564985956464,0,0,0,0,0,0,0,0,0,0,0,0,0.83234418290002,0.22051579611642,0,0,0.109091213771275,0,0,0,0,0,0.76937403849193,0.114950597286224,0.114580282143184,0,0,0,0,0,0,0,0,0.536840728351048
"12",12,0,0,0,0,0,0,0,0,0,0.767828454573949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144519249598185,0,0,0,0,0,0,0.116808046897252,0
"13",13,0.79663963828768,0.81540481533323,0,0,0.832209570067269,0.837285016264234,0.861148076398032,0.101945911134992,0.79297855922154,0,0.46186820098332,0.639434116227286,0.425508345876421,0.67776620388031,0.677061336381095,0.214096239634923,0.64901271888188,0.110756363187517,0.100415502275739,0.784843487398965,0.666363946029118,0,0.525744233812605,0.779592590672629,0,0,0,0,0,0.644899104322706,0,0,0,0.665619211537497,0.859708385808127,0.829952989305769,0.790125242301396,0.816497990063259,0,0.221746989658901,0
"14",14,0.773883298039436,0.830219134688377,0,0.808235839009285,0.815175592899323,0,0,0,0.835011139512062,0.749615877866745,0.798306494951248,0.879792451858521,0.850573360919952,0.615455612540245,0.825647473335266,0,0,0,0,0,0.773609861731529,0.411365821957588,0.953398987650871,0.961152628064156,0,0,0,0,0.177817121148109,0.879776507616043,0.829660937190056,0.812106296420097,0,0.874100834131241,0.849782943725586,0.815163373947144,0.822884857654572,0.848223149776459,0.851978167891502,0.561437115073204,0.609769180417061
"15",15,0,0,0,0,0,0.759078562259674,0,0.799049615859985,0.71778678894043,0.859029233455658,0,0,0,0,0,0,0,0,0,0,0.86143571138382,0.749772369861603,0.768497347831726,0.753106534481049,0,0,0,0,0,0.752967357635498,0,0,0,0,0,0,0,0,0,0,0
"16",16,0,0,0,0,0,0,0.0645553578029979,0,0,0,0,0,0,0,0.0703091838143089,0,0,0,0,0.147958170283924,0.0655306360938332,0,0,0,0,0,0.0641495314511386,0,0.0702006871050054,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,0,0,0,0,0,0,0,0,0,0.659103194872538,0,0,0,0,0,0,0,0,0,0.810749272505442,0,0,0,0.260655601819356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798939049243927
"18",18,0,0,0,0,0,0,0.779577314853668,0.792543947696686,0,0.740690112113953,0.815550148487091,0.756450533866882,0,0,0.816156387329102,0.868122279644012,0.806088209152222,0.81670480966568,0,0.750500202178955,0,0,0.719668805599213,0.827981054782867,0.837367177009583,0.841631352901459,0.782475590705872,0.805781662464142,0,0.819559037685394,0.725510835647583,0.717892110347748,0,0,0.773943781852722,0,0,0.745674192905426,0,0,0
"19",19,0,0,0,0,0,0,0,0.247629414002101,0,0.774393111467361,0,0,0,0,0,0,0,0,0,0.413146913051605,0.874994476636251,0.118859102328618,0.557741264502207,0.810825457175573,0,0,0,0,0.120791594187419,0.861316512028376,0.844161341587702,0.842053085565567,0.695204218228658,0,0,0,0,0,0,0,0.531826476256053
"20",20,0,0,0,0,0,0,0.801125407218933,0,0,0.870517730712891,0.744828045368195,0,0,0.780780613422394,0.721065849065781,0.737087965011597,0.35637167096138,0,0,0.359682530164719,0,0,0,0,0,0,0,0,0,0,0,0,0.850480139255524,0.719956248998642,0.755495697259903,0,0,0.806119799613953,0,0,0
"21",21,0,0,0,0,0,0.48862964908282,0.750211904446284,0,0,0.379396547873815,0,0,0,0,0,0,0,0,0,0.867374420166016,0.738968243201574,0,0.797803928454717,0.851063787937164,0,0,0,0,0,0.82376699646314,0,0,0,0,0.481435229380925,0,0,0.245439986387889,0,0,0.618618865807851
