time	서부 텍사스 중질유 가격	브랜트유 가격	천연가스 선물	가솔린 선물	난방유 선물	납 선물	주석 99.85% 선물	SHG 아연 99.995% 선물	LME Index	금 선물	은 선물	밀 선물	옥수수 선물	대두 선물	쌀	설탕 선물	커피 선물	오렌지쥬스 선물	돼지 선물	생우 선물	MSCI 선진국 부동산	MSCI 이머징 부동산	영국 Halifax 주택가격(계절조정)	영국 Nationwide 주택가격(계절조정)	북경 주택가격	천진 주택가격	상해 주택가격	광주 주택가격	심천 주택가격	다우존스 Equity REITs	MSCI World REITs	MSCI AC  World REITs	MSCI Europe REITs	Reuter CRB(EW)곡물지수	Reuter CRB(EW)상품선물지수	Reuter CRB(EW)에너지지수	Reuter CRB(EW)산업지수	Reuter CRB(EW)귀금속지수	RJ CRB 상품선물지수	서부 텍사스 중질유 가격 y-y	브랜트유 가격 y-y	천연가스 선물 y-y	가솔린 선물 y-y	난방유 선물 y-y	납 선물 y-y	주석 99.85% 선물 y-y	SHG 아연 99.995% 선물 y-y	LME Index y-y	금 선물 y-y	은 선물 y-y	밀 선물 y-y	옥수수 선물 y-y	대두 선물 y-y	쌀 y-y	설탕 선물 y-y	커피 선물 y-y	오렌지쥬스 선물 y-y	돼지 선물 y-y	생우 선물 y-y	MSCI 선진국 부동산 y-y	MSCI 이머징 부동산 y-y	영국 Halifax 주택가격(계절조정) y-y	영국 Nationwide 주택가격(계절조정) y-y	북경 주택가격 y-y	천진 주택가격 y-y	상해 주택가격 y-y	광주 주택가격 y-y	심천 주택가격 y-y	다우존스 Equity REITs y-y	MSCI World REITs y-y	MSCI AC  World REITs y-y	MSCI Europe REITs y-y	Reuter CRB(EW)곡물지수 y-y	Reuter CRB(EW)상품선물지수 y-y	Reuter CRB(EW)에너지지수 y-y	Reuter CRB(EW)산업지수 y-y	Reuter CRB(EW)귀금속지수 y-y	RJ CRB 상품선물지수 y-y	천연고무 선물	Dram Exchange 지수
2003-10-01	29.1	27.7	4.9		0.8	655	5360	968	1392.3		5.1	369.5	247.3	794.3	7.5	5.9	58.7	67.6	53.3	101.8	105.8	71.8	447.3	264						171.9				225.8	247.6	255.7	247.3	326.4	223.7	6.9	7.7	17.7		5.6	47.5	26.6	21.9	26.4		12.4	-8.1	-0.1	40.5	101.6	-22.4	-11.1	-31.4	23.7	48.8	25	43.5	13.6	16.1						24.6				9.4	8.2	6.5	46.6	21	23.3	157.1	3578.8
2003-11-01	30.4	28.5	4.9		0.8	639.5	5565	955	1407.3		5.4	394.3	245	756.3	8.4	6.3	57.8	68.5	50	102	107.2	67	452.6	267.2						178.5				227.1	249.9	268.7	232.3	340.1	225.6	13.1	13.1	17.3		10.3	36.1	26.8	15.3	22.8		21.3	5.7	2	30.7	106.1	-17.9	-13.3	-32.9	7.3	36.4	21.8	33.9	12.8	15.2						24.1				13.6	8.3	13.2	27.9	26.2	23.4	134.1	3396.3
2003-12-01	32.5	30.2	6.2		0.9	724	6525	1017	1569		6	377	246	789	8.5	5.7	65	64.1	53.4	77.2	112.5	71.1	459.6	272.3						183.5				225.8	255.3	283.3	256.6	364.1	239	4.2	5.3	29.2		5.5	66.1	52.5	32.6	44		24	16	4.3	38.5	121.8	-22.6	7.9	-30.1	3.5	2.5	31.7	50.3	17.2	15.6						28				19.9	8.9	5.2	45.3	25.9	22.9	139.4	3238.6
2004-01-01	33.1	29.2	5.4		0.9	769	6480	1043	1624.2		6.2	389	276.3	819.5	8.1	5.9	75.5	61.6	57.4	76.7	118.7	78.4	470.7	273.1						190.9				240.7	262.6	292.7	262	368.3	245	-1.4	-6.2	-3.7		-2.9	61.9	42.4	27	37.4		28.7	21.4	15.9	45.3	81.9	-32.2	15.6	-30.9	12.6	-7.1	41.9	57.6	18.2	14.2						37.7				28.3	5.7	-0.3	36.3	21.1	16.3	134.8	3721
2004-02-01	36.2	32.2	5.4		1	890	6950	1138	1766		6.7	380.8	296.3	942.5	9	6	75.1	58.8	62	81.5	122.5	79.6	480.6	280.6						193.5				256.6	274.7	316.9	287.9	383.8	263.3	-1.2	-1.7	-33.1		-23.5	89.8	51.1	39.3	48.8		43.8	21.8	27.8	63.3	97.8	-32.2	32	-28.6	13.7	3	47.8	64.6	18.3	17						38.2				38.3	11.1	-0.8	47	29.9	18.6	144.2	4043.8
2004-03-01	35.8	31.5	5.9		0.9	822	8475	1110	1780		7.9	408	320	995	9.5	6.4	73.8	60.3	66.7	84	125.9	77	490.3	285.4						203.3				272.6	283.8	314.9	266.3	419.7	267.6	15.2	15.9	17.3		11.9	82.9	86.7	42.9	60.5		77.9	42.3	35.3	73.2	84.6	-16.7	25.7	-30.5	32.4	10.8	57	65.8	19.1	16.8						43.5				49.2	22.2	19.3	42.3	47.2	31	140.7	5024.7
2004-04-01	37.4	34.5	5.9		1	731	8625	1043	1627.6		5.9	381.5	316.5	1034	11.3	6.6	67.2	58.1	74.4	88.3	114.1	70.3	500.1	290						172.8				267	272.5	337.1	245.8	355	265.6	44.9	45.6	8.9		25.2	58.9	84.9	33	44.1		26.5	36.5	36	65.8	81.1	-9.9	-1.6	-28.3	28.4	11.7	39.2	44.5	20.7	18.8						17.4				43.9	17.2	44.1	31.2	25.7	32.8	142.7	5074.3
2004-05-01	39.9	36.6	6.4		1	833	9000	1110	1695.3		6.1	362	304	814	10.2	7.1	85.6	56.1	75.8	89.3	117.8	68.2	509.2	295.3						184.5				235.2	277.3	357.4	252.7	363.4	276.8	34.9	39	3.1		32.5	77.2	85.6	41.4	42.3		34.9	11.6	24.5	30.3	73.3	-0.3	46.6	-33.3	16.9	8.8	33.1	31.8	21.4	19.4						18.9				20.4	17.7	41.4	36	24.2	32.7	153.2	4810
2004-06-01	37.1	34.5	6.2		1	837	8760	992	1664		5.8	338	257.5	893	10.1	7.2	73.1	61.8	79	87.3	119	68.6	514.8	298.5						188.6				218.9	265.9	339.9	228.2	350.9	262.6	22.7	21.8	13.7		28.8	74.7	88.4	24	44.8		27.8	12	12.7	43.7	73.4	14.4	24.1	-27.6	23.3	19.2	32.9	19.1	21.8	19.2						20				17.9	13.8	30	16.4	19.7	25.7	158.9	4685.3
2004-07-01	43.8	40	6.1		1.2	879	8825	1042	1720.3		6.6	312.3	217.3	599.5	7.1	8.3	66.5	61.5	77.8	86	119.3	69	520.4	303.7						188.7				184.6	267.8	386.5	220.5	370	273.4	43.4	41.1	29.5		45.8	68.1	83.1	19.5	38.3		28	-10.4	5.5	12.6	-4.7	14.8	4.7	-22.6	35.7	9.1	28	15.4	21.5	20.3						14.4				2.3	14.3	45.6	9	19.4	29.3	141.4	4698
2004-08-01	42.1	39.6	5.1		1.1	858	8925	974	1684.9		6.8	309.8	227.8	627.3	7.9	8	69.3	73.5	66	84.2	126.2	67.9	517.2	304.7						203.2				197.9	276.5	366.4	240.3	388.1	272.5	33.4	34.3	7.3		35.7	70.6	82.5	18.2	38.1		32.5	-15.7	-2.4	5.4	6.4	27	12.8	-7.2	20.4	-0.1	29.2	9.6	18.8	19						23				-3.5	13.5	31.9	18.9	21.4	23.6	137.9	4630.2
2004-09-01	49.6	46.4	6.8		1.4	925	9140	1108	1831.1		6.9	306.8	205.5	527	7	8.5	82.4	87.5	75	84.5	126.7	74.4	525.4	305.7						201.7				176.2	285	433.7	232.6	392.5	289.1	70	68	40.7		78.9	69.1	81.5	31.3	47.8		34.6	-14.9	-6.7	-22.2	-3.7	37.1	30.9	14.9	35.1	-6.1	24.8	10.8	19.5	17.9						19				-14.1	17	75.1	6.9	21.7	33	140.5	4893.2
2004-10-01	51.8	49	8.7		1.4	879	9000	1063	1726.8		7.3	316.5	202.5	527.5	6.8	8.6	74.4	77.3	67.5	87.9	131.1	75.8	522.1	304.4						212.2				177.5	283.7	450.7	223	397.9	291.9	77.8	76.8	78.3		84	34.2	67.9	9.8	24		44.1	-14.3	-18.1	-33.6	-10.1	45	26.9	14.3	26.5	-13.7	23.9	5.6	16.7	15.3						23.4				-21.4	14.6	76.3	-9.8	21.9	30.5	135.6	4934.7
2004-11-01	49.1	45.5	7.6		1.4	952	8735	1170	1879.6		7.7	289.8	192.5	534.8	7.5	8.8	94.5	74.9	79.1	85	140.8	80.8	520	307.3						220.2				174.1	290.9	434	229.7	419.7	292.2	61.6	60	54.7		66.8	48.9	57	22.5	33.6		44.2	-26.5	-21.4	-29.3	-10.9	41.4	63.5	9.4	58.3	-16.7	31.3	20.6	14.9	15						23.3				-23.3	16.4	61.6	-1.1	23.4	29.5	123	4497.1
2004-12-01	43.5	40.5	6.1		1.2	1004	7765	1246	1940.1		6.8	307.5	204.8	547.8	7.2	9	103.8	86.1	76.4	89.9	147.9	83.8	526	307						229.5				177	283.9	383.5	232.1	396.6	278.6	33.6	34.1	-0.6		34.7	38.7	19	22.5	23.7		14.3	-18.4	-16.8	-30.6	-15.9	59.4	59.7	34.3	43	16.4	31.4	17.8	14.4	12.8						25.1				-21.6	11.2	35.4	-9.6	8.9	16.6	125.3	4562.1
2005-01-01	48.2	45.9	6.3		1.3	935	8010	1297	1891		6.7	291	197	514.8	6.7	9.2	105.4	82.3	73.8	91	141	89	530.1	307.2						209.2				169.6	284.8	432.3	229.9	392.2	285.7	45.8	57.4	17.1		42.9	21.6	23.6	24.4	16.4		7.9	-25.2	-28.7	-37.2	-17.2	57.3	39.5	33.5	28.6	18.6	18.8	13.5	12.6	12.5						9.6				-29.5	8.4	47.7	-12.3	6.5	16.6	130	4494.7
2005-02-01	51.8	50.1	6.7		1.5	954.5	8395	1389	1989.4		7.4	337.3	214.5	615.5	6.6	9.2	119.2	82.6	74.2	87.2	143.9	94.7	525.9	309.1						215				197	305	457.2	253	407.5	304.9	43.1	55.3	24.3		55.2	7.2	20.8	22.1	12.7		9.9	-11.4	-27.6	-34.7	-26.6	52.1	58.8	40.5	19.7	7	17.4	19.1	9.4	10.2						11.1				-23.2	11	44.3	-12.1	6.2	15.8	135	3803.1
2005-03-01	55.4	54.3	7.7		1.7	989	8125	1375	2021.3		7.2	331	213	627.5	7.1	8.7	126.4	99.6	68.7	92	139	83.6	528	308						210.3				194.3	313.6	519.8	258.1	401.8	316.2	54.9	72.3	29		87	20.3	-4.1	23.9	13.6		-9.7	-18.9	-33.4	-36.9	-25.2	35.9	71.4	65.1	3.1	9.5	10.5	8.6	7.7	7.9						3.5				-28.7	10.5	65.1	-3.1	-4.3	18.1	144.7	3012.4
2005-04-01	49.7	51.1	6.6		1.4	950	8050	1299	1936.2		6.9	318	204.8	619.3	7.4	8.6	125.2	94.5	78.2	93.9	143.3	79.5	527.1	310						221.2				191.2	303.7	469.8	265	398.5	296.7	33	48.2	12.3		50.6	30	-6.7	24.5	19		17.7	-16.6	-35.3	-40.1	-34.3	30.9	86.4	62.7	5	6.4	25.6	13	5.4	6.9						28				-28.4	11.4	39.4	7.8	12.3	11.7	138.1	2969.6
2005-05-01	52	50.7	6.4		1.5	962	7925	1285	1878.3		7.4	331.8	222	680.3	7.3	8.8	118.4	95.2	72	90	144.5	76.4	526.3	311.5						227.8				200.6	300.8	469.9	244.2	402	292.1	30.3	38.7	-1		45.3	15.5	-11.9	15.8	10.8		21.9	-8.4	-27	-16.4	-27.8	24.1	38.3	69.6	-5	0.8	22.7	11.9	3.4	5.5						23.5				-14.7	8.5	31.5	-3.4	10.6	5.5	153.5	2998.6
2005-06-01	56.5	55.6	7		1.6	895	7300	1230	1889.9		7	321.5	212.3	651.8	6.4	9.3	104.7	96.4	65.5	82.8	148.6	78.3	527.6	311.1						237.9				199	306.9	514.6	264.7	404.5	300	52.5	61.1	13.4		61	6.9	-16.7	24	13.6		21.7	-4.9	-17.6	-27	-36.4	29	43.2	56	-17	-5.1	24.9	14.1	2.5	4.2						26.2				-9.1	15.4	51.4	16	15.3	14.2	173.2	3077.2
2005-07-01	60.6	59.4	7.9		1.6	855.5	7150	1265	1982.3		7.2	327.8	236.5	671.8	6.7	9.8	103.2	97.9	67.9	81.2	155.7	83.8	529	311.7	106.2	106.7	107.3	107.6	106.9	254.1				205.6	315.2	546.2	268.2	409.4	312	38.3	48.3	29		41.4	-2.7	-19	21.4	15.2		10.5	5	8.9	12.1	-5.1	18.7	55.2	59.2	-12.7	-5.6	30.5	21.5	1.7	2.7						34.6				11.4	17.7	41.3	21.6	10.7	14.1	204.6	3336.8
2005-08-01	68.9	67	11.5		2.1	863	6970	1366	2018.8		6.8	301.5	201.5	586.8	6.7	10.1	97.8	89.5	63.7	83.3	154.6	84.2	536.3	312	106.2	106.3	105.4	104.4	106.1	243.6				188.9	319	661.8	258.7	401.9	329.4	63.7	69.2	126.1		84.9	0.6	-21.9	40.2	19.8		0.1	-2.7	-11.5	-6.5	-15	26	41.1	21.8	-3.4	-1.2	22.5	24	3.7	2.4						19.9				-4.6	15.4	80.6	7.6	3.6	20.9	177.1	3128.5
2005-09-01	66.2	63.5	13.9		2.1	938	6555	1420	2039		7.5	346.3	205.5	573.3	7.3	11	93.5	102.3	67.2	89.1	157.9	89.8	542.1	311.4	115.3	107.2	106.2	107.9	116.5	243.5				189.3	333.3	643.8	276	431.1	333	33.4	36.9	104.9		48.5	1.4	-28.3	28.2	11.4		7.8	12.9	0	8.8	3.1	28.8	13.5	16.9	-10.4	5.5	24.7	20.7	3.2	1.8						20.7				7.4	17	48.4	18.7	9.8	15.2	190.6	3051.1
2005-10-01	59.8	58.1	12.2	1.6	1.8	963	6280	1545	2118.3		7.6	317	196.3	564.8	7.1	11.3	96.7	116.7	61.7	88.5	153.1	86.6	543.8	314.3	117.8	107.3	108.3	107.8	116.8	237.3				181.2	326.7	549.4	281	432.8	316.3	15.5	18.6	39.9		22.4	9.6	-30.2	45.3	22.7		3.5	0.2	-3.1	7.1	5	31.7	29.9	51.1	-8.6	0.7	16.8	14.3	4.2	3.2						11.8				2.1	15.1	21.9	26	8.8	8.3	186.1	2959.5
2005-11-01	57.3	55.1	12.6	1.5	1.6	1043	6150	1715	2287.5		8.3	304	187.5	558	7.5	12.4	93	120.2	62.5	93.5	157.5	95	548.8	314.4	108.2	106.1	100.1	104.5	110.9	246.3				180.5	332.5	520.4	289.5	463	314.3	16.7	21	65.2		16.1	9.6	-29.6	46.6	21.7		7.2	4.9	-2.6	4.3	0.5	40.6	-1.5	60.4	-21	9.9	11.9	17.5	5.5	2.3						11.9				3.7	14.3	19.9	26	10.3	7.5	190.8	2920.8
2005-12-01	61	59	11.2	1.7	1.7	1051	6500	1909	2405		8.8	339.3	215.8	602	7.9	14.7	107.1	125.2	65.3	92.5	164.7	100	555.3	316.6	107.4	106.5	97.9	104.4	108.9	244.3				193.8	347.9	564	302.5	478.1	331.8	40.5	45.8	82.6		40.5	4.7	-16.3	53.2	24		29.6	10.3	5.4	9.9	10.4	62.4	3.2	45.4	-14.6	2.9	11.4	19.4	5.6	3.1						6.4				9.5	22.5	47.1	30.3	20.5	19.1	205	2969.4
2006-01-01	67.9	66	9.3	1.8	1.8	1322	7855	2306	2676.7		9.9	343.3	218.8	594.3	8.5	18	118.2	124.7	56	93.6	175.4	115.7	553	320.6	108.4	105.5	96.9	105.2	110	261.8				196.8	363.3	607.6	323.6	531.4	348.7	40.9	43.7	47.4		35.4	41.4	-1.9	77.8	41.5		46.2	18	11	15.4	27.3	95.4	12.2	51.6	-24.2	2.8	24.4	29.9	4.3	4.4						25.1				16	27.6	40.6	40.8	35.5	22	251.4	3119
2006-02-01	61.4	61.8	6.7	1.5	1.7	1182	7750	2359	2626		9.7	370.3	228	580.3	8.2	16.7	111.8	134	61.5	90.2	177.7	120.5	560.2	320.5	107.3	105.8	95.9	104.9	111.3	265.8				206.7	353.3	551	318.2	521.7	324.4	18.7	23.4	-0.2		14.8	23.8	-7.7	69.8	32		32.1	9.8	6.3	-5.7	24.9	82.6	-6.2	62.2	-17.2	3.4	23.5	27.2	6.5	3.7						23.6				4.9	15.8	20.5	25.7	28	6.4	246.5	3021.2
2006-03-01	66.6	65.9	7.2	2.1	1.9	1185	8150	2645	2826		11.5	347.8	236	571.5	8.6	17.9	107	148.2	57.4	79.5	184.6	136.6	565.8	324.5	107	106.6	94	107.3	109.9	278				200.3	361.9	609.3	330.9	558.7	333.2	20.3	21.4	-5.8		12.3	19.8	0.3	92.4	39.8		60.1	5.1	10.8	-8.9	21.1	105.7	-15.3	48.8	-16.5	-13.6	32.7	63.3	7.2	5.4						32.2				3.1	15.4	17.2	28.2	39.1	5.4	250.1	2999
2006-04-01	71.9	72	6.6	2.2	2	1210	9450	3175	3462		13.5	346.3	238.3	587.3	8.2	17.1	107.2	144.4	68	79.2	184.5	135.6	577.2	324.7	108.2	106.7	93.8	108.2	113.6	267	1000	1000	1000	205.8	379.5	660.8	378.9	631.2	349.9	44.6	41	-0.5		40.2	27.4	17.4	144.4	78.8		95.7	8.9	16.4	-5.2	10.8	99	-14.3	52.8	-13	-15.7	28.8	70.6	9.5	4.7						20.7				7.6	25	40.7	43	58.4	17.9	242.1	3249.4
2006-05-01	71.3	70.4	6.4	2.3	2	1071	8295	3670	3732.1		12.4	393.5	251.3	579.5	9.1	15.5	99	150.8	68.1	79.7	176.6	125	577.5	326	109	107.3	93.8	109.7	113.7	258.6	970.3	969.2	941.2	211.4	379.8	653.8	402.3	627.1	344.9	37.2	38.8	0.1		35	11.3	4.7	185.6	98.7		66.6	18.6	13.2	-14.8	24.3	76.5	-16.4	58.4	-5.5	-11.4	22.2	63.6	9.7	4.6						13.5				5.3	26.3	39.1	64.7	56	18.1	307.2	3337.3
2006-06-01	73.9	73.5	6.1	2.4	2	1015	8100	3220	3513.6		10.8	371.5	235.5	594.8	9.2	15.8	99.5	165.1	72.6	84.6	181.9	117.6	573.1	327	111.2	107.4	94.6	110	114.6	270.7	1005.6	1003.7	971.8	213.6	385.6	673.9	391.6	588.3	346.4	30.8	32.3	-12.6		21.3	13.4	11	161.8	85.9		54.1	15.6	11	-8.7	43.8	69.1	-4.9	71.3	10.7	2.1	22.5	50.3	8.6	5.1						13.8				7.4	25.6	30.9	48	45.5	15.5	322.9	3361.8
2006-07-01	74.4	75.2	8.2	2.3	2	1092	8425	3415	3743.2		11.3	397.5	239	579.5	9.2	14.9	99.4	169.3	68.6	83.7	188.2	119	575.3	330.4	111.1	107.5	96.5	109	113.6	279	1050.3	1048.3	1035.6	211.7	391.5	676.6	409.6	605.3	349.8	22.8	26.6	4.1		20.3	27.6	17.8	170	88.8		56.5	21.3	1.1	-13.7	36.8	51.7	-3.7	72.9	1	3.1	20.9	41.9	8.8	6	4.6	0.7	-10.1	1.3	6.3	9.8				2.9	24.2	23.9	52.7	47.8	12.1	278.6	3517
2006-08-01	70.3	70.3	6	1.8	2	1210	8855	3450	3730.2		12.9	404	232	542.3	8.5	11.8	104	181	66.9	90.2	193.8	126.9	582.1	332.9	111.4	107.6	97.8	107.3	112.8	288.6	1077	1075.1	1070.9	212.6	391	624.9	403.7	631.2	329	1.9	4.8	-47.3		-4.8	40.2	27	152.6	84.8		90.2	34	15.1	-7.6	26	17.2	6.4	102.2	5	8.4	25.3	50.6	8.5	6.7	4.9	1.2	-7.2	2.8	6.3	18.5				12.6	22.6	-5.6	56.1	57.1	-0.1	230.5	3954.3
2006-09-01	62.9	62.5	5.6	1.6	1.7	1380	8850	3330	3718.8		11.5	443	262.5	547.5	9.7	10.9	107.7	170.3	63.6	90.7	197.3	134.4	588.4	337	110.3	107.7	98.7	108.7	110.6	292.6	1101.3	1099	1145.5	219.4	370.1	553.8	387.5	578.5	305.6	-5	-1.6	-59.6		-18.5	47.1	35	134.5	82.4		53.5	27.9	27.7	-4.5	33.1	-0.9	15.2	66.5	-5.3	1.7	25	49.7	8.5	8.2	-4.3	0.5	-7.1	0.7	-5.1	20.2				15.9	11	-14	40.4	34.2	-8.2	208.3	4372.4
2006-10-01	58.7	59	7.5	1.4	1.6	1617	10250	4220	3912.9		12.2	483	320.8	630.3	9.5	11.6	108.3	199.4	65	90.4	208.8	150.5	598	339	110.7	107.7	99.4	108.8	109.9	310.2	1164.5	1162.4	1169.8	253.6	383.9	519.6	378.2	582.5	305.9	-1.7	1.6	-38.3	-8.5	-10.3	67.9	63.2	173.1	84.7		61.7	52.4	63.4	11.6	33.3	1.9	12	70.9	5.3	2.1	36.4	73.7	10	7.9	-6	0.4	-8.2	0.9	-5.9	30.7				39.9	17.5	-5.4	34.6	34.6	-3.3	208.4	4356.4
2006-11-01	63.1	64.3	8.8	1.7	1.8	1663	10450	4375	3869.5		13.9	502	377	685.5	10	12.4	119.7	202.9	61.7	85.7	219.4	172	610.7	344.3	110.3	107.8	99.9	107.1	109.8	323.6	1234.9	1232.5	1243.8	281.4	408.8	580.2	380.2	641	321.5	10.1	16.7	-29.7	11.5	12.2	59.4	69.9	155.1	69.2		68.2	65.1	101.1	22.8	32.5	-0.5	28.7	68.8	-1.3	-8.3	39.3	81.1	11.3	9.5	1.9	1.6	-0.2	2.5	-1	31.4				55.9	22.9	11.5	31.3	38.5	2.3	188.1	4513.2
2006-12-01	61.1	60.9	6.3	1.6	1.6	1665	11510	4230	3701.1		12.8	501	390.3	683.5	10.1	11.8	126.2	201.3	61.7	90.4	224.8	189	599.7	350	110.4	107.8	99.9	108.3	110	316.5	1241.5	1239.3	1352.3	279.1	394.9	539	368.8	611.9	307.3	0	3.2	-43.9	-7.9	-7.5	58.4	77.1	121.6	53.9		45.3	47.7	80.9	13.5	27.7	-20	17.8	60.7	-5.5	-2.2	36.4	89	8	10.5	2.8	1.2	2	3.7	1	29.6				44	13.5	-4.4	21.9	28	-7.4	239.2	4631.8
2007-01-01	58.1	57.4	7.7	1.5	1.7	1679	12000	3480	3520.4		13.5	467.5	404	719.5	10.1	10.6	117.7	186	64.5	90.2	236.5	178.1	613.7	350.3	109.9	107.3	99.9	108.9	110.2	342.4	1300.5	1298.2	1282.4	282.8	394.4	513.7	345.7	635.9	301.2	-14.4	-13	-17.7	-14.5	-8.2	27	52.8	50.9	31.5		37.2	36.2	84.7	21.1	19	-41.2	-0.5	49.2	15.3	-3.6	34.8	54	11	9.3	1.4	1.7	3.1	3.5	0.2	30.8				43.7	8.6	-15.4	6.8	19.7	-13.6	275	4218.8
2007-02-01	61.8	61.9	7.3	1.8	1.8	1820	13150	3480	3697.7		14.1	474.5	425.3	773.3	10.2	11.3	117.7	205	67.8	94.5	237	174.8	622.2	353.3	109.7	107.3	100.1	109.6	109.9	333.8	1284.9	1282.6	1303.2	299.8	410.6	581.9	353.1	664.6	312.4	0.6	0.2	8.7	19.6	4	54	69.7	47.5	40.8		45.1	28.2	86.5	33.3	24.3	-32.4	5.3	53	10.2	4.8	33.3	45.1	11.1	10.2	2.2	1.4	4.4	4.5	-1.3	25.6				45.1	16.2	5.6	11	27.4	-3.7	260.2	3874.5
2007-03-01	65.9	68.1	7.7	2.1	1.9	1920	13400	3255	3928.9		13.4	438	374.5	761.3	10.1	9.9	109.3	189.3	63.9	97.6	238.3	199.6	628.2	354.6	109.9	107.4	100.2	108.6	110.7	324.7	1278.2	1276.1	1357.1	274.8	407.5	624	377	650.3	316.9	-1.1	3.3	7.2	2.3	0.9	62	64.4	23.1	39		16.6	26	58.7	33.2	17.8	-44.8	2.1	27.7	11.3	22.8	29.1	46.1	11	9.3	2.7	0.8	6.6	1.2	0.7	16.8				37.2	12.6	2.4	13.9	16.4	-4.9	274	3376.2
2007-04-01	65.7	67.7	7.9	2.4	1.9	2015	13750	3756	4287.1		13.4	485.5	358	728.5	10	9.2	103.2	166	75.6	97.3	239.6	208.7	635.2	357.9	110.7	107.2	100.3	107.2	111.3	323.8	1279.5	1277.8	1309	277.4	403.5	644.6	391.3	663.6	312.7	-8.6	-6.1	20	10.4	-4.9	66.5	45.5	18.3	23.8		-0.5	40.2	50.3	24.1	21	-46.1	-3.8	15	11.2	22.8	29.8	53.9	10	10.2	2.3	0.5	6.9	-0.9	-2	21.3	28	27.8	30.9	34.8	6.3	-2.5	3.3	5.1	-10.6	266.6	3116.4
2007-05-01	64	68	7.9	2.3	1.9	2331	14100	3695	4155.7		13.4	517	390.3	806.3	10.2	9.3	111.9	151.4	75.1	91.2	241.5	223.8	636.4	359.5	110.3	106.9	100.3	107.1	112.3	323.1	1282	1280.1	1295	296.6	407.6	624.8	390.6	655.6	311.5	-10.2	-3.4	24.3	-1.6	-4	117.6	70	0.7	11.4		8.2	31.4	55.3	39.1	12	-39.6	13.1	0.4	10.3	14.4	36.8	79.1	10.2	10.3	1.2	-0.4	6.9	-2.4	-1.2	24.9	32.1	32.1	37.6	40.3	7.3	-4.4	-2.9	4.6	-9.7	284.1	2983.6
2007-06-01	70.7	71.4	6.8	2.3	2	2660	13900	3350	3992		12.4	582	329.5	850	10.4	9.1	111	133	71.2	85.5	223.6	241.2	639.6	363.2	110	106.8	100.9	107.3	113.9	292.7	1171.5	1169.8	1184.4	304.2	410.4	661.9	430.8	633.1	315.7	-4.4	-2.9	11	-4.1	3.4	162.1	71.6	4	13.6		14	56.7	39.9	42.9	12.9	-42.6	11.6	-19.4	-1.8	1.1	22.9	105	11.6	11.1	-1.1	-0.6	6.7	-2.5	-0.6	8.2	16.5	16.6	21.9	42.4	6.4	-1.8	10	7.6	-8.8	257.1	3355.2
